in	160818
ze	136144
ou	113518
er	110972
ed	110270
an	92512
re	86720
ng	84226
es	83963
to	79738
ea	72924
ar	72302
as	71164
en	70434
st	69062
at	65670
al	65618
nd	64536
on	64400
he	60770
is	56297
se	56017
sa	55633
or	55158
nt	53182
te	52220
ua	50872
di	50568
ad	49188
la	48174
li	46688
ti	46000
so	45743
ne	43326
ro	43204
ll	42648
ke	41779
id	41576
ha	40964
le	40822
de	40610
ve	40488
of	40352
hi	39922
me	39898
it	38842
ri	37734
el	37636
ns	36526
si	36424
da	36270
na	34520
ta	34142
gh	34002
ai	33894
et	33888
eu	33386
ra	33338
be	33042
kk	32909
no	32642
do	32436
ka	32270
ee	32228
ss	31164
rs	30717
yo	30612
tu	30460
om	29720
em	29268
un	28920
ma	28600
ek	28513
ue	28412
ui	27442
su	27425
ur	27018
ut	26620
ez	25712
lo	25644
us	25501
ld	25482
fo	25272
ul	25242
za	24936
uh	24438
ak	24226
sk	24208
pe	23944
im	23594
ds	23507
oo	23380
dz	23370
ts	23327
ly	23110
ge	22596
os	22341
eh	21670
zi	21462
ig	21400
ef	20892
ey	20844
ki	20832
eo	20786
il	20544
we	20542
ei	20390
dh	19898
uo	19896
tt	19756
nz	19750
oz	19734
ol	19592
ni	19568
rd	19212
tz	19158
sp	19127
ep	19100
ht	19044
tr	18866
ga	18318
mo	17838
du	17212
ok	16951
ik	16791
ot	16764
ko	16595
dt	16254
db	16164
nk	16142
pa	16110
av	15880
eb	15874
iz	15872
am	15678
th	15634
rm	15514
ru	15474
sz	15210
ho	15002
fi	14754
ie	14508
ir	14394
io	14388
fa	14336
ay	14136
bl	14094
rt	14006
au	13702
mi	13660
od	13534
pl	13482
go	13438
pr	13248
br	13222
fz	13016
ev	12992
wa	12990
ap	12524
fe	12512
sl	12364
ab	12238
ba	12232
fr	12176
ks	12131
nh	12128
bu	12108
po	12090
nu	11958
ug	11774
op	11772
tl	11654
sh	11558
dn	11494
if	11306
ry	11158
ag	11072
rk	10977
gi	10794
ye	10682
bo	10528
sm	10287
rz	10188
gz	10178
sn	10171
rn	10160
ty	10136
eg	10010
vi	9932
dd	9870
up	9850
oi	9818
ys	9758
tk	9645
zo	9536
gr	9516
gu	9484
az	9442
rr	9210
rh	9192
pp	9142
ms	9132
dr	8992
dg	8566
ob	8364
lu	8360
ov	8246
ft	8214
ls	8140
dl	7932
sb	7905
oa	7890
mp	7870
df	7784
yz	7676
ya	7644
ew	7636
tb	7614
sr	7604
yu	7598
iv	7528
oh	7484
sf	7317
gs	7289
pi	7254
dy	7218
ny	7176
mu	7158
kt	7132
kn	6865
fu	6840
yi	6824
ff	6802
uk	6773
wo	6770
um	6742
nl	6724
ah	6606
nf	6538
gt	6414
ia	6288
lf	6158
af	6136
mb	6076
td	5820
rb	5816
ud	5770
tm	5730
va	5724
my	5686
tf	5650
rl	5626
kv	5560
pu	5550
dk	5527
kl	5430
ku	5389
lt	5336
rf	5308
dm	5296
dp	5266
mz	5254
gl	5254
yh	5140
sw	5040
nn	5018
rg	4910
kr	4894
rw	4886
uz	4876
nb	4856
ps	4837
fl	4798
lk	4766
sd	4669
ju	4568
aw	4562
zr	4534
sy	4434
fh	4416
rp	4338
by	4318
uu	4214
tn	4208
dw	4114
yd	4080
yt	4076
yb	4024
ip	4018
pt	3924
og	3922
tw	3874
mm	3780
fs	3589
yl	3574
lh	3500
mh	3466
ja	3406
iu	3384
yf	3374
kh	3340
ph	3338
wi	3284
hu	3262
lz	3258
lm	3240
tp	3232
zz	3202
nw	3060
iw	3060
np	3056
yk	3050
nm	3000
vo	2984
nr	2978
kz	2952
oy	2934
gb	2930
ib	2898
gf	2880
ym	2856
sg	2777
hy	2662
ub	2658
uw	2610
rv	2598
zs	2586
tg	2560
bi	2528
yp	2508
oe	2476
gd	2472
lb	2454
gg	2390
mf	2316
gn	2310
hs	2259
yr	2234
yn	2190
lp	2160
ml	2090
mt	2078
fy	2010
ky	1984
gm	1974
zh	1960
ih	1922
uf	1906
pz	1882
hz	1874
lr	1826
yw	1804
nv	1624
jo	1606
gk	1583
fb	1574
zu	1566
ej	1556
ow	1516
kb	1455
bb	1438
mn	1398
fk	1383
yg	1376
dj	1362
fm	1318
gy	1302
lv	1256
kf	1241
hp	1232
gw	1226
gp	1204
yy	1170
fp	1164
sj	1156
dv	1132
ln	1108
tj	1106
bs	1097
md	1086
hh	1058
mk	1050
je	1034
fd	1022
uy	998
sv	990
tv	966
pb	966
kw	956
zk	916
nj	910
km	867
lw	860
kd	851
lg	832
zm	802
zy	798
mr	796
fw	788
wm	786
zb	776
mw	770
wu	764
mg	696
zl	662
uv	660
py	650
kp	649
vl	634
zd	602
fg	574
aj	570
pf	568
hk	559
ws	556
oj	550
yj	548
zt	540
rj	478
zf	470
bt	462
wr	448
bv	444
hw	438
fn	430
yv	410
vs	405
zg	366
pm	360
zp	352
hl	350
ii	342
bj	338
pd	334
pk	333
zw	330
kg	317
gj	306
hn	298
uj	294
gv	292
ao	288
zn	286
wz	280
hf	264
mj	262
aa	260
hr	258
hd	256
ij	252
lj	248
fj	248
pw	244
hb	226
hm	222
wt	216
wh	214
vy	214
fv	210
ae	174
pn	162
kj	162
zj	142
pg	142
iy	138
wy	132
hg	132
wb	130
bh	126
wl	122
bz	122
vr	118
mv	118
wn	116
wk	112
vu	106
wf	104
vn	98
bd	94
vk	93
wd	84
wg	76
hj	74
pj	68
zv	66
wp	66
ww	62
vh	58
bf	58
bk	53
bn	48
ji	46
bm	42
vd	34
pv	32
wj	28
vz	28
vw	28
bw	28
vf	22
hv	22
vg	18
vb	18
vt	16
bp	16
bg	16
vp	12
wv	10
vv	6
vj	4
vm	2
jp	2
